GCoM_ID,signatory name,country code,Covenant Region,Year of adhesion,population adhesion year, signatory adhesion type , latitude , longitude ,area, NUTS3 , LAU1 , LAU2 , FUA_ID , CITY_ID/GREATER_CITY_ID , CITY or Greater City ,population in 2018, degree of urbanisation ,Heating Degree-Days (HDD),reference year HDD,"GDP per capita at NUTS3 [Euro per inhabitant]"," GHG emissions per capita in GCoM sectors_EDGAR [tCO2-eq/year] ",reference years in EDGAR,  Mitigation reduction target 2020 [%] ,  Mitigation reduction target 2030 [%] , reduction_type_id 
PL0035,Ustka,pl,Europe EU27,2012,16467.00, As an individual signatory , 54.35 , 16.52 ,10.00, PL636 ,, PL1004221411201 ,, NaN , Other ,15709.00, 2.00 ,3209.82,2000,8000.00, 5.94 ,2000, 20.00 , -   , absolute 
IT1026,Vico del Gargano,it,Europe EU27,2016,8000.00, As an individual signatory , 41.90 , 15.96 ,111.08, ITF46 ,, IT071059 ,, NaN , Other ,7674.00, 2.00 ,1327.65,2015,15833.33, 4.17 ,2016, NaN , NaN , NaN 
IT4797,Nizza di Sicilia,it,Europe EU27,2012,3663.00, As an individual signatory , 38.00 , 15.41 ,13.00, ITG13 ,, IT083061 ,, NaN , Other ,3671.00, 3.00 ,1153.58,2012,17038.89, 4.53 ,2012, NaN , NaN , NaN 
IT2112,CAVERNAGO,it,Europe EU27,2014,2598.00, As an individual signatory , 45.38 , 9.46 ,7.00, ITC46 ,, IT016066 ,, NaN , Other ,2587.00, 3.00 ,2762.34,2005,30538.89, 5.48 ,2005, 20.00 , -   , absolute 
ES1351,Sant Pau de Segúries,es,Europe EU27,2012,676.00, As an individual signatory , 42.26 , 2.37 ,8.00, ES512 ,, ES17177 ,, NaN , Other ,707.00, 3.00 ,2028.17,2005,25461.11, 5.37 ,2005, 21.00 , -   , absolute 
IT0542,Sommacampagna,it,Europe EU27,2014,14634.00, As an individual signatory , 45.00 , 10.00 ,40.00, ITH31 ,, IT023082 ,, NaN , Other ,14802.00, 2.00 ,1922.90,2007,30061.11, 5.31 ,2007, 40.00 , -   , absolute 
LV0002,Daugavpils,lv,Europe EU27,2016,95467.00, As an individual signatory , 55.87 , 26.52 ,72.00, LV005 ,, LV0050000 ,, LV501C1 , City or Greater city ,83250.00, 1.00 ,3770.67,2015,4566.67, 2.93 ,2016, NaN , NaN , NaN 
RO0019,Reşiţa,ro,Europe EU27,2009,73282.00, As an individual signatory , 45.29 , 21.89 ,2420.00, RO422 ,, RO50790 ,, NaN , Other ,86554.00, 2.00 ,2684.74,2008,4300.00, 3.03 ,2008, 20.00 , -   , absolute 
IT0738,Taormina,it,Europe EU27,2013,11061.00, As an individual signatory , 37.51 , 15.18 ,13.00, ITG13 ,, IT083097 ,, NaN , Other ,10872.00, 2.00 ,1153.62,2013,17038.89, 4.27 ,2013, NaN , NaN , NaN 
IT2164,Berzo Inferiore,it,Europe EU27,2015,2470.00, As an individual signatory , 45.56 , 10.16 ,22.00, ITC47 ,, IT017017 ,, NaN , Other ,2480.00, 3.00 ,2986.56,2005,30794.44, 5.48 ,2005, 20.00 , -   , absolute 
ES1285,MENÀRGUENS,es,Europe EU27,2016,849.00, As an individual signatory , 41.73 , 0.74 ,20.00, ES513 ,, ES25134 ,, NaN , Other ,801.00, 3.00 ,2137.94,2015,25988.89, 3.65 ,2016, NaN , NaN , NaN 
AT0012,Lassee,at,Europe EU27,2008,3500.00, As an individual signatory , 48.22 , 16.82 ,55.00, AT126 ,, AT30830 ,, NaN , Other ,2765.00, 3.00 ,2601.37,2008,23816.67, 5.18 ,2008, NaN , NaN , NaN 
AT0013,Laxenburg,at,Europe EU27,2008,2736.00, As an individual signatory , 48.07 , 16.36 ,10.00, AT127 ,, AT31715 ,, NaN , Other ,2828.00, 3.00 ,2453.03,2008,40211.11, 5.18 ,2008, 20.00 , -   , per_capita 
BE0002,Antwerp,be,Europe EU27,2009,512000.00, As an individual signatory , 51.22 , 4.40 ,204.00, BE211 ,, BE11002 ,, BE002C1 , City or Greater city ,524667.00, 1.00 ,2484.38,2005,40731.58, 7.38 ,2005, 20.00 , -   , absolute 
BE0285,Bruxelles-Capitale,be,Europe EU27,2008,1048491.00, As an individual signatory , 50.85 , 4.36 ,160.00, BE100 ,,, BE001L3 , BE001L3 , City or Greater city ,1172625.00, 1.00 ,2433.93,1990,60205.26, 6.87 ,1990, 20.00 , -   , absolute 
BE0024,Genk,be,Europe EU27,2008,66051.00, As an individual signatory , 50.97 , 5.50 ,88.00, BE221 ,, BE71016 ,, NaN , Other ,66175.00, 2.00 ,2247.74,2011,32600.00, 5.97 ,2011, 20.00 , -   , absolute 
BE0004,Gent,be,Europe EU27,2009,259579.00, As an individual signatory , 51.05 , 3.73 ,156.00, BE234 ,, BE44021 ,, BE003C1 , City or Greater city ,261344.00, 1.00 ,2209.84,2007,37621.05, 6.91 ,2007, 20.00 , 40.00 , absolute 
BE0021,Hasselt,be,Europe EU27,2008,77222.00, As an individual signatory , 50.93 , 5.34 ,102.00, BE221 ,, BE71022 ,, NaN , Other ,77749.00, 2.00 ,2247.74,2011,32600.00, 5.97 ,2011, 21.00 , 40.00 , absolute 
BE0005,Liège,be,Europe EU27,2015,195968.00, As an individual signatory , 50.65 , 5.58 ,69.00, BE332 ,, BE62063 ,, BE005C1 , City or Greater city ,198541.00, 1.00 ,2584.05,2015,25842.11, 5.64 ,2015, NaN , NaN , NaN 
BG0003,Burgas,bg,Europe EU27,2008,226000.00, As an individual signatory , 42.50 , 27.47 ,559.15, BG341 ,, BGBGS04 ,, BG004C1 , City or Greater city ,209202.00, 1.00 ,2306.58,2005,4061.11, 4.56 ,2005, 25.00 , -   , absolute 
